w,freq,cat,lang,tr,alt
चाहन्थे,1802,NE,ne,chahanthe,
चौडाई,1802,NE,ne,chaudai,
चौतारिया,1802,NE,ne,chautaria,
जन्मदिन,1802,NE,ne,janmadin,
जमीनमा,1802,NE,ne,jaminma,
जयपुरहाट,1802,NE,ne,jaipurhat,
थानाको,1802,NE,ne,thanako,
देवीदेवताहरू,1802,NE,ne,devidevataharu,
प्रवर्तक,1802,NE,ne,prawartak,
फिदिम,1802,NE,ne,fidim,
बदलामा,1802,NE,ne,badalama,
मध्येका,1802,NE,ne,madhyeka,
मेलम्ची,1802,NE,ne,melamchi,
रुखको,1802,NE,ne,rukhko,
रोगहरूको,1802,NE,ne,rogharuko,
व्यवसायमा,1802,NE,ne,wyawasayama,
शहरहरूमा,1802,NE,ne,shaharharuma,
सन्तुलित,1802,NE,ne,santulit,
सरकारसँग,1802,NE,ne,sarkarsanga,
सु,1802,NE,ne,sue,
आविष्कारक,1798,NE,ne,awishkarak,
इतिहासमै,1798,NE,ne,itihasmai,
कमाउन,1798,NE,ne,kamauna,
कारागारमा,1798,NE,ne,karagarma,
कुलेखानी,1798,NE,ne,kulekhani,
गर्छु,1798,NE,ne,garchhu,
गर्नुअघि,1798,NE,ne,garnuaghi,
ग्राहकहरू,1798,NE,ne,grahakharu,
चन्द्रशेखर,1798,NE,ne,chandrasekhar,chandrashekar;chandrasekar
देवताहरूलाई,1798,NE,ne,dewataharulai,
पोर्टो,1798,NE,ne,porto,
बाहेकका,1798,NE,ne,bahekaka,
बिट,1798,NE,ne,bitt,
बिर्तामोड,1798,NE,ne,birtamode,
भुमिहारनी,1798,NE,ne,bhumiharani,
महत्त्वको,1798,NE,ne,mahatwako,
युट्युबमा,1798,NE,ne,youtubema,
राज्यबाट,1798,NE,ne,rajyabata,
वरीयता,1798,NE,ne,wariyata,
विल,1798,NE,ne,will,
संरक्षणका,1798,NE,ne,sanrakshanka,
सुगन्धित,1798,NE,ne,sugandhit,
सृष्टिको,1798,NE,ne,srishtiko,
स्म्याकडाउनमा,1798,NE,ne,smacdownma,
अञ्जुकुमारी,1795,NE,ne,anjukumari,
असमका,1795,NE,ne,asamka,
आन्दोलनलाई,1795,NE,ne,andolanlai,
इनरुवा,1795,NE,ne,inruwa,
उत्खनन,1795,NE,ne,utkhanan,
एनिमर्फ्स,1795,NE,ne,animorphs,
केहीले,1795,NE,ne,kehile,
खोप,1795,NE,ne,khop,
गहुँको,1795,NE,ne,gahunko,
गुजरानवाला,1795,NE,ne,gujranwala,gujaranwala
चढाउने,1795,NE,ne,chadhaune,
चलचित्रबाट,1795,NE,ne,chalchitrabata,
चौथौ,1795,NE,ne,chauthau,
जगतारेण,1795,NE,ne,jagataren,
जर्मनीले,1795,NE,ne,germanyle,
दुधकोशी,1795,NE,ne,dudhkoshi,
नवजात,1795,NE,ne,navjat,
न्युटन,1795,NE,ne,neuton,
पुरुषले,1795,NE,ne,purushle,purushale
प्रयोगकर्ताद्वारा,1795,NE,ne,prayogkartadwara,
बिली,1795,NE,ne,billie,
बिस्ट,1795,NE,ne,bista,
बिहीबार,1795,NE,ne,bihibar,
भागबाट,1795,NE,ne,bhagabata,
मकैको,1795,NE,ne,makaiko,
मार्को,1795,NE,ne,marco,
राइजिङ,1795,NE,ne,rising,
वक्ताहरू,1795,NE,ne,waktaharu,
शिवालय,1795,NE,ne,shiwalaya,
सँगसँगै,1795,NE,ne,sangasangai,
सहरबाट,1795,NE,ne,saharbata,
सुडिन,1795,NE,ne,sudin,
स्टोर,1795,NE,ne,store,
हावामा,1795,NE,ne,hawama,
अन्त्येष्टि,1792,NE,ne,antyeshti,
अपरेटिङ,1792,NE,ne,uprating,
क्याम्पसहरू,1792,NE,ne,campusharu,
खोलिएको,1792,NE,ne,kholieko,
चक्रवात,1792,NE,ne,chakrawat,
छेउ,1792,NE,ne,chheu,
जस्तैः,1792,NE,ne,jastaih,
जाभा,1792,NE,ne,jabha,
टाइटन्स,1792,NE,ne,titans,
त्रिशक्ति,1792,NE,ne,trishakti,
नजिकका,1792,NE,ne,najikaka,
निर्वाचनहरू,1792,NE,ne,nirvachanharu,
प्रयासहरू,1792,NE,ne,prayasharu,
बुँदा,1792,NE,ne,bunda,
भर्जिनिया,1792,NE,ne,bharjinia,
भिके,1792,NE,ne,bhike,
मुमिन,1792,NE,ne,mumin,
मुम्बईमा,1792,NE,ne,mumbaima,
रणवीर,1792,NE,ne,ranveer,
लागेमा,1792,NE,ne,lagema,
लिँदै,1792,NE,ne,lindai,
विकिपिडियाले,1792,NE,ne,wikipediale,
विषयका,1792,NE,ne,vishayaka,
व्रतको,1792,NE,ne,wratako,
श्रीकृष्णले,1792,NE,ne,shrikrishnale,
संविधानसभाको,1792,NE,ne,sanwidhansabhako,
संस्थाहरूले,1792,NE,ne,sansthaharule,
सङ्ख्याको,1792,NE,ne,sankhyako,
सम्भोट,1792,NE,ne,sambhota,
सान्दर्भिक,1792,NE,ne,sandarbhik,
सिद्धान्तमा,1792,NE,ne,siddhantama,siddhantamaa
सुरुङ,1792,NE,ne,surung,
अनुकूलन,1788,NE,ne,anukulan,
असमानता,1788,NE,ne,asamanta,
आयोजनाको,1788,NE,ne,ayojanako,
आवश्यकताहरू,1788,NE,ne,awashyaktaharu,
इन्जिनको,1788,NE,ne,injinko,
उनीलाई,1788,NE,ne,unilai,
उपायहरू,1788,NE,ne,upayaharu,
उम्मेदवारहरू,1788,NE,ne,ummedwarharu,
एनसेल,1788,NE,ne,encell,
कलाकारहरूको,1788,NE,ne,kalakarharuko,
कागतीको,1788,NE,ne,kagatiko,
कौटिल्य,1788,NE,ne,kautilya,
खण्डकाव्य,1788,NE,ne,khandakawya,
चुनावको,1788,NE,ne,chunawako,
झाडी,1788,NE,ne,jhadi,
दृढ,1788,NE,ne,dridha,
देवघाट,1788,NE,ne,devghat,
नदीका,1788,NE,ne,nadika,
पर्वतमा,1788,NE,ne,parwatma,
पुर्तुगाली,1788,NE,ne,purtugali,
बियोन्सेको,1788,NE,ne,biyonseko,
लेन्स,1788,NE,ne,lens,
लोखर्के,1788,NE,ne,lokharke,
विवादमा,1788,NE,ne,vivadma,
वैज्ञानिकहरू,1788,NE,ne,vaigyanikharu,
सस्तो,1788,NE,ne,sasto,
हलेसी,1788,NE,ne,halesi,
अनुवादहरू,1785,NE,ne,anuwadharu,
अभियानका,1785,NE,ne,abhiyanka,
अमिलो,1785,NE,ne,amilo,
आइएएफडी,1785,NE,ne,iafd,
उल्टो,1785,NE,ne,ulto,
एडम्स,1785,NE,ne,addams,
एल्बमहरू,1785,NE,ne,elbamharu,
कमाएको,1785,NE,ne,kamaeko,
कोइली,1785,NE,ne,koili,
जिल्लाबाट,1785,NE,ne,jillabata,
ढुङ्गाना,1785,NE,ne,dhungana,
तुलाधर,1785,NE,ne,tuladhar,
तेलिया,1785,NE,ne,telia,
देवीलाई,1785,NE,ne,devilai,
नपर्ने,1785,NE,ne,naparne,
निकुञ्जमा,1785,NE,ne,nikunjama,
निक्कै,1785,NE,ne,nikkai,
निषेधित,1785,NE,ne,nishedhit,
नोबेम्बर,1785,NE,ne,nobember,
पुर्खा,1785,NE,ne,purkha,
प्यागोडा,1785,NE,ne,pyagoda,
प्रक्रियाहरू,1785,NE,ne,prakriyaharu,
प्रबन्धकीय,1785,NE,ne,prabandhakiya,
फुटर,1785,NE,ne,footer,
बाल्यकालमा,1785,NE,ne,balyakalma,
बुझाउने,1785,NE,ne,bujhaune,
महाद्वीपीय,1785,NE,ne,mahadwipiya,
मिनेटको,1785,NE,ne,minetko,
रानीको,1785,NE,ne,raniko,
लगानीकर्ता,1785,NE,ne,laganikarta,
विभेद,1785,NE,ne,vibhed,
विश्वयुद्धको,1785,NE,ne,vishwayudhko,
व्यवसायको,1785,NE,ne,wyawasayako,
सन्थाली,1785,NE,ne,santhali,
सावित्रा,1785,NE,ne,sawitra,
सुरुङ्गा,1785,NE,ne,surunga,
सैनिकहरू,1785,NE,ne,sainikharu,
स्वरमा,1785,NE,ne,swarma,
स्वेज,1785,NE,ne,swej,
हिन्दुत्व,1785,NE,ne,hindutva,hindutwa
उत्तराखण्डका,1781,NE,ne,uttarakhandaka,
कक्षमा,1781,NE,ne,kakshama,
कपिलेश्वरनाथ,1781,NE,ne,kapileshwarnath,
किसिमले,1781,NE,ne,kisimle,
खिचिएको,1781,NE,ne,khichieko,
खेलकुदको,1781,NE,ne,khelkudko,
खेल्छन्,1781,NE,ne,khelchan,
जयस्थिति,1781,NE,ne,jayasthiti,
झलनाथ,1781,NE,ne,jhalnath,
तिनीहरूका,1781,NE,ne,tiniharuka,
दरबारहरू,1781,NE,ne,darbarharu,
दशकका,1781,NE,ne,dashakka,
नागरिकको,1781,NE,ne,nagarikko,
परिस्थितिमा,1781,NE,ne,paristhitima,
पुग्छन्,1781,NE,ne,pugchhan,
पुरस्कारका,1781,NE,ne,puraskarka,
पुरालेख,1781,NE,ne,puralekh,
बक्सिङ,1781,NE,ne,buxing,
बताइन्छ,1781,NE,ne,batainchha,
बिरूद्ध,1781,NE,ne,biruddha,
बेलमाया,1781,NE,ne,belmaya,
भैरहेको,1781,NE,ne,bhairaheko,
मनसुन,1781,NE,ne,mansun,
मिखाइल,1781,NE,ne,mikhail,
म्यासेडोनिया,1781,NE,ne,macedonia,
रावणको,1781,NE,ne,rawanko,
रियाजले,1781,NE,ne,riyajle,
ल्याई,1781,NE,ne,lyai,
विद्महे,1781,NE,ne,vidmahe,
सकिएपछि,1781,NE,ne,sakiepachhi,
अनुप्रयोगहरू,1778,NE,ne,anuprayogharu,
अभियन्ता,1778,NE,ne,abhiyanta,
इङ्ल्यान्डको,1778,NE,ne,englandko,
इरफान,1778,NE,ne,irrfan,
उदेश्य,1778,NE,ne,udeshya,
एकीकरणको,1778,NE,ne,ekikaranko,
कट्टेल,1778,NE,ne,kattel,
कायरो,1778,NE,ne,kyro,
कार्यक्रमहरूको,1778,NE,ne,karyakramharuko,
कार्लोस,1778,NE,ne,carles,
क्रुज,1778,NE,ne,kruj,
गाएर,1778,NE,ne,gaera,
जोनी,1778,NE,ne,johnny,
जोमसोम,1778,NE,ne,jomsom,
तराईमा,1778,NE,ne,taraima,
तिनले,1778,NE,ne,tinle,
दिइएका,1778,NE,ne,diieka,
देखिए,1778,NE,ne,dekhie,
द्रव्यमान,1778,NE,ne,drawyaman,
धर्महरू,1778,NE,ne,dharmaharu,
पढेका,1778,NE,ne,padheka,
पर्यटनको,1778,NE,ne,paryatanko,
पुतलीबजार,1778,NE,ne,putlibazar,
प्यासिफिक,1778,NE,ne,pasific,
फेदमा,1778,NE,ne,fedma,
बद्री,1778,NE,ne,badri,
बोगटान,1778,NE,ne,bogtan,
भर्जिन,1778,NE,ne,bharjin,
भेष,1778,NE,ne,bhesha,bhesh
महादेवको,1778,NE,ne,mahadevko,
महाराष्ट्रको,1778,NE,ne,maharashtrako,
राख्छन्,1778,NE,ne,rakhchhan,
राष्ट्रहरूले,1778,NE,ne,rashtraharule,
लिच्छवी,1778,NE,ne,lichchawi,
ल्होत्से,1778,NE,ne,lhotse,
विहान,1778,NE,ne,wihan,
संसारकै,1778,NE,ne,sansarkai,
स्तनको,1778,NE,ne,stanko,
होस्ट,1778,NE,ne,host,
अधिकारलाई,1775,NE,ne,adhikarlai,
अधिराज्यमा,1775,NE,ne,adhirajyama,
अनुच्छेद,1775,NE,ne,anuchchhed,
उज्वल,1775,NE,ne,ujwal,
औषधोपचार,1775,NE,ne,aushadhopchar,
क्षतिपूर्ति,1775,NE,ne,kshatipurti,
गर्नुहुन्छ,1775,NE,ne,garnuhunchha,
जेसिका,1775,NE,ne,jessica,
जोडेको,1775,NE,ne,jodeko,
टुर्नामेन्ट,1775,NE,ne,turnament,
डायना,1775,NE,ne,dianna,
दरले,1775,NE,ne,darle,
पाण्डेय,1775,NE,ne,pandey,
पुदुच्चेरी,1775,NE,ne,puduchcheri,
पुस्तकहरूको,1775,NE,ne,pustakharuko,
पूर्णिमाको,1775,NE,ne,purnimako,
प्रयोगलाई,1775,NE,ne,prayoglai,
प्रवर्तन,1775,NE,ne,prawartan,
फाल्गुनन्द,1775,NE,ne,phalgunanda,falgunanda
बढाएको,1775,NE,ne,badhaeko,
महल्ला,1775,NE,ne,mahalla,
मुद्दाहरू,1775,NE,ne,muddaharu,
रङ्गशालाको,1775,NE,ne,rangashalako,
लागेपछि,1775,NE,ne,lagepachhi,
सधै,1775,NE,ne,sadhai,
सम्झौताको,1775,NE,ne,samjhautako,
अगाथा,1771,NE,ne,agatha,
अर्जुनको,1771,NE,ne,arjunko,
कलकारखानाहरू,1771,NE,ne,kalkarkhanaharu,
काभ्रे,1771,NE,ne,kabhre,
किराहरू,1771,NE,ne,kiraharu,
गरिदिए,1771,NE,ne,garidie,
चतुर्दशी,1771,NE,ne,chaturdashi,
चरणका,1771,NE,ne,charanka,
जङ्गबहादुरले,1771,NE,ne,jangabahadurle,
जलसन्धि,1771,NE,ne,jalasandhi,
डाँक,1771,NE,ne,daank,
तरबार,1771,NE,ne,tarbar,
तालिकाको,1771,NE,ne,talikako,
पोखरामा,1771,NE,ne,pokharama,
बहुमूल्य,1771,NE,ne,bahumulya,
बिरोध,1771,NE,ne,birodh,
महाकाव्यको,1771,NE,ne,mahakawyako,
मौलभीबाजार,1771,NE,ne,maulabhibajar,
राजस्थानको,1771,NE,ne,rajasthanko,
राजेन्द्रप्रसाद,1771,NE,ne,rajendraprasad,
राणाको,1771,NE,ne,ranako,
रोकाया,1771,NE,ne,rokaya,
लन्डनमा,1771,NE,ne,londonma,
विज्ञप्ति,1771,NE,ne,vigyapti,
विस्तारको,1771,NE,ne,wistarko,
वृद्धिको,1771,NE,ne,vriddhiko,wriddhiko
सतहदेखि,1771,NE,ne,satahadekhi,
सिने,1771,NE,ne,ciney,
सौगात,1771,NE,ne,saugat,
अनुरोधमा,1767,NE,ne,anurodhma,
अफगानिस्तानको,1767,NE,ne,afaganistanko,
अश्वमेध,1767,NE,ne,ashwamedh,
आइपुग्दा,1767,NE,ne,aipugda,
चैतन्य,1767,NE,ne,chaitanya,
जनावरहरूको,1767,NE,ne,janawarharuko,
झनै,1767,NE,ne,jhanai,
तपाइँको,1767,NE,ne,tapainko,
दिनहरू,1767,NE,ne,dinharu,
नगरिएका,1767,NE,ne,nagarieka,
नदीहरूको,1767,NE,ne,nadiharuko,
पक्षका,1767,NE,ne,pakshaka,
पक्षबाट,1767,NE,ne,pakshabata,
पशुपन्छी,1767,NE,ne,pashupanchhi,
पुरुषहरू,1767,NE,ne,purushharu,
फरकफरक,1767,NE,ne,farakfarak,
फ्याक्टबुक,1767,NE,ne,factbook,
बालकको,1767,NE,ne,balakako,balakko
ब्राजिलका,1767,NE,ne,brazilka,
भैरहवा,1767,NE,ne,bhairahawa,
मंगलबार,1767,NE,ne,mangalbar,
महत्त्वका,1767,NE,ne,mahatwaka,
महिनाहरू,1767,NE,ne,mahinaharu,
मुद्राको,1767,NE,ne,mudrako,
लगाएकी,1767,NE,ne,lagaeki,
लाखभन्दा,1767,NE,ne,lakhbhanda,
वहाँको,1767,NE,ne,wahanko,wahaanko
वायुमण्डल,1767,NE,ne,wayumandal,
विमानमा,1767,NE,ne,vimanma,
व्यवस्थापनको,1767,NE,ne,wyawasthapanko,
संसदका,1767,NE,ne,sansadka,
सङ्गठित,1767,NE,ne,sangathit,
सतहको,1767,NE,ne,satahako,
समाजलाई,1767,NE,ne,samajlai,
सार्लेटले,1767,NE,ne,sarletle,
सिटौला,1767,NE,ne,sitaula,
सुशासन,1767,NE,ne,sushashan,sushasana;sushasan
हुन्छिन्,1767,NE,ne,hunchhin,
इजिप्टको,1764,NE,ne,egyptko,
उपचारमा,1764,NE,ne,upacharma,
ओल्ड,1764,NE,ne,old,
औजारहरू,1764,NE,ne,aujarharu,
कलकत्तामा,1764,NE,ne,calcuttama,kalkattama
कामका,1764,NE,ne,kamka,
खण्डको,1764,NE,ne,khandako,
च्यानलहरू,1764,NE,ne,channelharu,
जनसङ्ख्यालाई,1764,NE,ne,janasankhyalai,
तन्नो,1764,NE,ne,tanno,
दृश्यको,1764,NE,ne,drishyako,
दृष्टिकोणबाट,1764,NE,ne,drishtikonbata,
नगरहरू,1764,NE,ne,nagarharu,
नगर्नु,1764,NE,ne,nagarnu,
नियन्त्रणको,1764,NE,ne,niyantranko,
पकाएर,1764,NE,ne,pakaera,
पत्रिकाहरू,1764,NE,ne,patrikaharu,
पदावधि,1764,NE,ne,padawadhi,
पार्वतीको,1764,NE,ne,parvatiko,parwatiko
पुर्याउने,1764,NE,ne,puryaune,
फलहरू,1764,NE,ne,falharu,
बर्दिबास,1764,NE,ne,bardibas,
बस्दै,1764,NE,ne,basdai,
मलावी,1764,NE,ne,malawi,
महिलाहरूमा,1764,NE,ne,mahilaharuma,
मुकुट,1764,NE,ne,mukut,
यिनीहरूलाई,1764,NE,ne,yiniharulai,
विषाक्त,1764,NE,ne,vishakta,
शासकको,1764,NE,ne,shasakko,
सङ्क्रमित,1764,NE,ne,sankramit,
समयलाई,1764,NE,ne,samayalai,
सीतालाई,1764,NE,ne,sitalai,
स्टाइल,1764,NE,ne,style,
स्पोर्टिङ,1764,NE,ne,sporting,
हुनुअघि,1764,NE,ne,hunuaghi,
अफ्रिकन,1760,NE,ne,african,
आचार्यले,1760,NE,ne,acharyale,
उरिदू,1760,NE,ne,uridu,
किल्लाको,1760,NE,ne,killako,
किल्लामा,1760,NE,ne,killama,
गच्छदार,1760,NE,ne,gachchhadar,gacchadar
चतुर्भुज,1760,NE,ne,chaturbhuj,
चैत्य,1760,NE,ne,chaitya,
चौबिसी,1760,NE,ne,chaubisi,
छानिएको,1760,NE,ne,chhanieko,
जन्मस्थान,1760,NE,ne,janmasthan,
जितेन्द्र,1760,NE,ne,jeetendra,jitendra;jitender
डोरी,1760,NE,ne,dori,
देख्दैनन्,1760,NE,ne,dekhdainan,
देवीले,1760,NE,ne,devile,
पशुपालन,1760,NE,ne,pashupalan,
पुगेकी,1760,NE,ne,pugeki,
बजाउन,1760,NE,ne,bajauna,
बिरुवाको,1760,NE,ne,biruwako,
ब्रह्माको,1760,NE,ne,brahmako,
भएदेखि,1760,NE,ne,bhaedekhi,
महाराष्ट्रका,1760,NE,ne,maharashtraka,
मान्दछन्,1760,NE,ne,mandachhan,
मुद्दाको,1760,NE,ne,muddako,
मृग,1760,NE,ne,mrig,
रहिआएको,1760,NE,ne,rahiaeko,
राष्ट्रसङ्घका,1760,NE,ne,rashtrasanghaka,
रिजर्भ,1760,NE,ne,rijarbha,
व्यवस्थामा,1760,NE,ne,wyawasthama,
सम्पादनमा,1760,NE,ne,sampadanma,
सामग्रीलाई,1760,NE,ne,samagrilai,
स्टारलेट,1760,NE,ne,starlet,starlett
स्वीकार्य,1760,NE,ne,swikarya,
हैसियत,1760,NE,ne,haisiyat,
आश्चर्यहरू,1757,NE,ne,ashcharyaharu,
ऐरावती,1757,NE,ne,airawati,
खानामा,1757,NE,ne,khanama,
गान्धीले,1757,NE,ne,gandhile,
गुफामा,1757,NE,ne,gufama,
थापालाई,1757,NE,ne,thapalai,
देउजा,1757,NE,ne,deuja,
निकालेको,1757,NE,ne,nikaleko,
निस्क्रिय,1757,NE,ne,niskriya,
प्रकृतिका,1757,NE,ne,prakritika,
बलात्कारको,1757,NE,ne,balatkarko,
बिहारमा,1757,NE,ne,biharma,
भक्तपुरमा,1757,NE,ne,bhaktapurma,
भौतिकी,1757,NE,ne,bhautiki,
मूर्तिको,1757,NE,ne,murtiko,
लोकविश्वास,1757,NE,ne,lokawishwas,
सिद्धेश्वर,1757,NE,ne,siddheshwar,
सिलसिलामा,1757,NE,ne,silsilama,
स्त्रीलिङ्गी,1757,NE,ne,strilingi,
अग्रगामी,1753,NE,ne,agragami,
अघिको,1753,NE,ne,aghiko,
अन्तत,1753,NE,ne,antat,
अर्जुनक,1753,NE,ne,arjunak,
अवतारको,1753,NE,ne,awatarko,
आक्रमणमा,1753,NE,ne,akramanma,
आदेशमा,1753,NE,ne,adeshma,
उठाएर,1753,NE,ne,uthaera,
उद्देश्यहरू,1753,NE,ne,uddeshyaharu,
गएकी,1753,NE,ne,gaeki,
गौचन,1753,NE,ne,gauchan,
चौधौँ,1753,NE,ne,chaudhaun,
जनसंख्याको,1753,NE,ne,janasankhyako,
जनाएकी,1753,NE,ne,janaeki,
जन्मिएको,1753,NE,ne,janmieko,
तरिकामा,1753,NE,ne,tarikama,
थलो,1753,NE,ne,thalo,
दिलाउन,1753,NE,ne,dilauna,
देशहरूका,1753,NE,ne,deshaharuka,
नजिकबाट,1753,NE,ne,najikbata,
प्रभावलाई,1753,NE,ne,prabhawalai,
फासो,1753,NE,ne,faso,
बिर्ता,1753,NE,ne,birta,
बेसीसहर,1753,NE,ne,besishar,
ब्रिटानिका,1753,NE,ne,britanica,britannica
योगमाया,1753,NE,ne,yogmaya,
राष्ट्रव्यापी,1753,NE,ne,rashtrawyapi,
लर्नर,1753,NE,ne,learner,
वालिङ,1753,NE,ne,walling,
विज्ञानका,1753,NE,ne,vigyanka,
व्यक्तिका,1753,NE,ne,wyaktika,
शाकाहारी,1753,NE,ne,shakahari,
शिलापत्र,1753,NE,ne,shilapatra,
श्रीकृष्णको,1753,NE,ne,shrikrishnako,
संकटा,1753,NE,ne,sankata,
समर्थनको,1753,NE,ne,samarthanko,
सुधारका,1753,NE,ne,sudharka,
सुरक्षाका,1753,NE,ne,surakshaka,
स्मृतिमा,1753,NE,ne,smritima,
स्रोतहरूमा,1753,NE,ne,srotharuma,
स्वास्थ्यको,1753,NE,ne,swasthyako,
हजुर,1753,NE,ne,hajur,
होचो,1753,NE,ne,hocho,
अनुसन्धानमा,1749,NE,ne,anusandhanma,
आदानप्रदान,1749,NE,ne,adanpradan,
इन्द्रले,1749,NE,ne,indrale,
इन्साइक्लोपिडिया,1749,NE,ne,encyclopedia,encyclopaedia
कामदार,1749,NE,ne,kamdar,
कालान्तरमा,1749,NE,ne,kalantarma,
क्वेटा,1749,NE,ne,queta,
क्षयरोग,1749,NE,ne,kshayarog,
चिनिन,1749,NE,ne,chinin,
च्याम्पियनसिपमा,1749,NE,ne,championshipma,
दिनुपर्ने,1749,NE,ne,dinuparne,
निगमले,1749,NE,ne,nigamle,
पाण्डवहरू,1749,NE,ne,pandavharu,
पोखरीमा,1749,NE,ne,pokharima,
प्राप्तिको,1749,NE,ne,praptiko,
प्रेमबहादुर,1749,NE,ne,prembahadur,
फजलुल,1749,NE,ne,fazlul,
फिल,1749,NE,ne,phil,fill
बच्चाहरू,1749,NE,ne,bachchaharu,
बाइबल,1749,NE,ne,baibal,
बोर्डको,1749,NE,ne,boardko,
भण्डारखाल,1749,NE,ne,bhandarkhal,
मानिन्थ्यो,1749,NE,ne,maninthyo,
म्याचको,1749,NE,ne,matchko,
योगदानका,1749,NE,ne,yogdanka,
राजस्थानका,1749,NE,ne,rajasthanka,
लक्जेम्बर्ग,1749,NE,ne,luxemberg,luxemburg
लालबहादुर,1749,NE,ne,lalbahadur,
लिमिटेडको,1749,NE,ne,limitedko,
वर्णको,1749,NE,ne,warnako,
शैलीका,1749,NE,ne,shailika,shailikaa
सम्पदाहरू,1749,NE,ne,sampadaharu,
सरकारहरू,1749,NE,ne,sarkarharu,
सर्वसाधारणहरूको,1749,NE,ne,sarwasadharanharuko,
हर्जगोभिना,1749,NE,ne,harjagobhina,
आदिलाई,1745,NE,ne,adilai,
आदिले,1745,NE,ne,adile,
कम्पनीहरूले,1745,NE,ne,companyharule,
कोसोभो,1745,NE,ne,kosobho,
क्यान्सरको,1745,NE,ne,cancerko,
क्लबलाई,1745,NE,ne,clublai,
खडेरी,1745,NE,ne,khaderi,
गठबन्धनको,1745,NE,ne,gathabandhanko,
गाएको,1745,NE,ne,gaeko,
घटाउने,1745,NE,ne,ghataune,
घरमै,1745,NE,ne,gharmai,
जुत्ता,1745,NE,ne,jutta,
ढुङ्गाको,1745,NE,ne,dhungako,
परिवारसँग,1745,NE,ne,pariwaarsanga,
पश्चिमको,1745,NE,ne,pashchimko,
पसिना,1745,NE,ne,pasina,
पिछडिएको,1745,NE,ne,pichhadieko,
फैलावट,1745,NE,ne,failawat,
बरियता,1745,NE,ne,bariyata,
बर्डलाईफ,1745,NE,ne,birdlife,
बुट्यान,1745,NE,ne,butyan,
बोक्ने,1745,NE,ne,bokne,
ब्लिस,1745,NE,ne,bliss,
महाजनपद,1745,NE,ne,mahajanpad,
मान्छन्,1745,NE,ne,manchhan,
मृतकको,1745,NE,ne,mritakko,
मेटाइएको,1745,NE,ne,metaieko,
युनान,1745,NE,ne,yunan,
रामग्राम,1745,NE,ne,ramgram,
रेखदेख,1745,NE,ne,rekhdekh,
विकिपीडियामा,1745,NE,ne,wikipediama,
वेबसाइटहरूको,1745,NE,ne,websiteharuko,
सत्यको,1745,NE,ne,satyako,
सन्धिखर्क,1745,NE,ne,sandhikharka,
साउन्डट्र्याक,1745,NE,ne,soundtrack,
सामानहरू,1745,NE,ne,samanharu,
सिक्किमी,1745,NE,ne,sikkimi,
सूर्यलाई,1745,NE,ne,suryalai,
अक्षरको,1742,NE,ne,aksharko,
अपरेसन,1742,NE,ne,upression,
अर्जुनलाई,1742,NE,ne,arjunlai,
उपधारा,1742,NE,ne,upadhara,
उपविभागहरू,1742,NE,ne,upawibhagharu,
ऋषिहरू,1742,NE,ne,rishiharu,
कक्षामा,1742,NE,ne,kakshama,
काटिएको,1742,NE,ne,katieko,
कामलाई,1742,NE,ne,kamlai,
कार्यक्रमका,1742,NE,ne,karyakramka,
किम्बदन्ती,1742,NE,ne,kimbadanti,
क्लिन्टन,1742,NE,ne,klinton,
खगेन्द्र,1742,NE,ne,khagendra,
खतराको,1742,NE,ne,khatarako,
गुमाएको,1742,NE,ne,gumaeko,
चिरञ्जीवी,1742,NE,ne,chiranjeevi,chiranjiwi
जोङ्खा,1742,NE,ne,jongkha,
तरवार,1742,NE,ne,tarwar,
नाम्ची,1742,NE,ne,namchi,
परम्परालाई,1742,NE,ne,paramparalai,
परीक्षामा,1742,NE,ne,parikshama,
पर्यटकहरू,1742,NE,ne,paryatakharu,
प्याकुरेल,1742,NE,ne,pyakurel,
बाँधेर,1742,NE,ne,baandhera,bandhera
बालबालिकालाई,1742,NE,ne,balbalikalai,
भतिजा,1742,NE,ne,bhatija,
भीमेश्वर,1742,NE,ne,bhimeshwar,
मच्छिन्द्रनाथको,1742,NE,ne,machindranathko,
मण्डलको,1742,NE,ne,mandalko,
मानिसहरूका,1742,NE,ne,manisharuka,
रगतमा,1742,NE,ne,ragatma,
रथमा,1742,NE,ne,rathma,
राणाले,1742,NE,ne,ranale,
वहाँले,1742,NE,ne,wahanle,wahaanle
वाष्प,1742,NE,ne,washpa,
विपिन,1742,NE,ne,whipin,
श्रीमान,1742,NE,ne,shriman,
संस्थालाई,1742,NE,ne,sansthalai,
सम्पदाको,1742,NE,ne,sampadako,
सरेको,1742,NE,ne,sareko,
सुविधाको,1742,NE,ne,suwidhako,
स्विडेनको,1742,NE,ne,swidenko,
हकमा,1742,NE,ne,hakma,
हिरासतमा,1742,NE,ne,hirasatma,
अर्थतन्त्रको,1738,NE,ne,arthatantrako,
इतिहासकारहरूले,1738,NE,ne,itihaskarharule,
कमलामाई,1738,NE,ne,kamalamai,
काठका,1738,NE,ne,kathka,
खतरापूर्ण,1738,NE,ne,khatarapurna,
गतेसम्म,1738,NE,ne,gatesamma,
गर्थ्यो,1738,NE,ne,garthyo,
गीतहरूमा,1738,NE,ne,githaruma,
चार्टर्ड,1738,NE,ne,chartered,
चिह्नित,1738,NE,ne,chihnit,
जरिवाना,1738,NE,ne,jariwana,
टेकबहादुर,1738,NE,ne,tekbahadur,
